"TaskType","Confidence","TreatmentType","ConversationId","ResponseId","Response"
1,"HighOnly",0,8,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Are you mad? Call me."
1,"HighOnly",0,9,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Hey, sorry, I was busy earlier. What's going on?"
1,"HighOnly",0,10,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Oh my gosh I'm so sorry."
1,"HighOnly",0,11,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","I'll do my best"
1,"HighOnly",0,12,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Yeah I'm alright. I'm just tired and need some alone time."
1,"HighOnly",0,13,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","I'm sorry, what should we do?"
1,"HighOnly",0,14,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Alright cool, talk to you then."
1,"HighOnly",0,15,"3SB5N7Y3O4024EOGEBCK199QSQI0GK","Oh wow, I'm sorry to hear.."
1,"Default",1,1,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","What do you mean? Whats going on?"
1,"Default",1,2,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","I know. Im normally good about that stuff but Ive had a lot on my mind. Can you not kill the ants please and just remove the trash so they naturally go away. Ill make it up to you mom. I love you"
1,"Default",1,3,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Well just let me know if you need help finding other jobs or text me next time hes acting that way and Ill try to talk you out of doing something rash lol"
1,"Default",1,4,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","I would never do that man. You dont have to worry about whether it was me, but she needs to calm down."
1,"Default",1,5,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Well hes not even worth thinking about in that case. We should do something on valentines day, even if just as friends. Itll help get your mind off things i think"
1,"Default",1,6,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","You're forgiven for that, but not for avoiding me in Starbucks lol! Did you see me as you passed or no?"
1,"Default",1,7,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","WTF, that sucks! you're one of the best employees there! Well Im sure its only a matter of time before I get laid off too. If you need help finding a job or making money on the side in the meantime just let me know. This changes the way I feel about the company knowing they let you go!"
1,"Default",1,8,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Ok im going to take an Uber. I feel so bad about this and I want to see you asap. Ill make it up to you ok!"
1,"Default",1,9,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Hey sorry I didn't see your first message quickly. sure no problem, whats up?"
1,"Default",1,10,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Aw! lol well if you want to come over my place to dry off you're more than welcome ;)"
1,"Default",0,11,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Not as cold as you're acting right now! lol jk. Ill definitely be there asap!"
1,"Default",0,12,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Hey Im really sorry. I know ive been flakey lately and I hope this doesnt make you think ill always be like this. Im just extremely depressed. Im worried if we go out, that ill end up being a downer on you and then youll never want to hang out again"
1,"Default",0,13,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","I know. Well I dont mind staying home if you and the others want to go, or maybe I could resell these tix and we can find something else to do."
1,"Default",0,14,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Cool, I won't forget and it may be sooner if I finish quicker."
1,"Default",0,15,"3QHK8ZVMINEJAT5RNI6PYIAHFB1BLN","Did you have anything else of importance in your wallet you can think of?"
1,"Default",1,1,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","So no drinks then huh?"
1,"Default",1,2,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","Sorry."
1,"Default",1,3,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","shithead bosses are everywhere"
1,"Default",1,4,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","That sucks man. It wasn't me. Who else could have told her?"
1,"Default",1,5,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","Break up with him first."
1,"Default",1,6,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","No judgement here."
1,"Default",1,7,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","Sorry to hear that."
1,"Default",1,8,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","I think an uber will be quicker."
1,"Default",1,9,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","What's up?"
1,"Default",1,10,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","Bunch a savages in this town."
1,"Default",0,11,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","5 minutes"
1,"Default",0,12,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","I'm fine. Just not in the mood right now."
1,"Default",0,13,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","We are just gonna have to get it by other means."
1,"Default",0,14,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","K"
1,"Default",0,15,"3XLBSAQ9Z58GD6J5P2LI1VZJBUI7ZG","Bummer."
1,"Default",1,1,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Kids been fighting again? I'll call for a sitter and we'll worry about the mess later!"
1,"Default",1,2,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Sorry, Mom. I'll make sure to take care of that ant problem."
1,"Default",1,3,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","I'd start looking for another job. Unemployment is like 4%. Plenty of employers are hiring."
1,"Default",1,4,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","It wasn't me. I would confront her first so that you don't look like you're hiding something."
1,"Default",1,5,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Let me blunt - there's not much you CAN do. If he's gonna break up with you, it's gonna happen. Maybe beat him to it?"
1,"Default",1,6,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Hey - you don't need to get upset at me. I was just asking. Tone it down a bit."
1,"Default",1,7,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","For now... I could easily be on the chopping block and don't know it yet."
1,"Default",1,8,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","What's your favorite letter? J/K, I'll get there when I get there."
1,"Default",1,9,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","I can't always reply to texts immediately. What do you need?"
1,"Default",1,10,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","If it's any consolation, the umbrella wouldn't have saved you unless you saw it coming. Anyway, sorry to hear that!"
1,"Default",0,11,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Yeah, it'd be a lot of work to reheat them in the microwave lol"
1,"Default",0,12,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","I'll be fine. I just need time to myself to decompress."
1,"Default",0,13,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","I know, right? We're going to have to hit up a scalper. We can get it down."
1,"Default",0,14,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Cool - 2:00 it is. Look forward to it."
1,"Default",0,15,"34MAJL3QP5JI9QUT2XS2UIAU5XT34V","Did you call the place we were at yet to see if they found it?"
1,"Default",1,1,"3483FV8BEFF73V2OHL7C86PGVAZ628","shit what happened?"
1,"Default",1,2,"3483FV8BEFF73V2OHL7C86PGVAZ628","Sorry mom"
1,"Default",1,3,"3483FV8BEFF73V2OHL7C86PGVAZ628","man go set fire to his desk or something. fuck bosses"
1,"Default",1,4,"3483FV8BEFF73V2OHL7C86PGVAZ628","shit idk who told her. you should probably tell her yourself what you did"
1,"Default",1,5,"3483FV8BEFF73V2OHL7C86PGVAZ628","what a dickwad. i had no idea"
1,"Default",1,6,"3483FV8BEFF73V2OHL7C86PGVAZ628","hey, sorry, its not a problem"
1,"Default",1,7,"3483FV8BEFF73V2OHL7C86PGVAZ628","Oh holy shit man what bullshit"
1,"Default",1,8,"3483FV8BEFF73V2OHL7C86PGVAZ628","I'll see you there then"
1,"Default",1,9,"3483FV8BEFF73V2OHL7C86PGVAZ628","shit whats up?"
1,"Default",1,10,"3483FV8BEFF73V2OHL7C86PGVAZ628","damn that sucks. what a jerk"
1,"Default",0,11,"3483FV8BEFF73V2OHL7C86PGVAZ628","I would die before i let nugs get cold you know me"
1,"Default",0,12,"3483FV8BEFF73V2OHL7C86PGVAZ628","sorry man im just in a certain state of mind"
1,"Default",0,13,"3483FV8BEFF73V2OHL7C86PGVAZ628","i'll try to figure it out"
1,"Default",0,14,"3483FV8BEFF73V2OHL7C86PGVAZ628","ill call you then"
1,"Default",0,15,"3483FV8BEFF73V2OHL7C86PGVAZ628","good I hope you didnt have too much cash on you"
1,"HighLow",2,1,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","I'll head straight home."
1,"HighLow",2,2,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Won't happen again mom."
1,"HighLow",2,3,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Maybe we can start job hunting tonight."
1,"HighLow",2,4,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Wasn't me, man."
1,"HighLow",2,5,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Do it first. Take control."
1,"HighLow",3,6,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Coffee isn't sinning, it's salvation."
1,"HighLow",3,7,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Damn. I'm so sorry. Is there anything I can do?"
1,"HighLow",3,8,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Let me know when you're ready to talk."
1,"HighLow",3,9,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Sorry, was in the bathroom. What do you need?"
1,"HighLow",3,10,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","You're hot when you're all wet."
1,"HighLow",0,11,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","It's not about temperature, it's about quantity."
1,"HighLow",0,12,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Sorry. Just been in a rut. I'll see you later tonight."
1,"HighLow",0,13,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","I'll try again, but we may have to sit in different areas."
1,"HighLow",0,14,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Ok. Will call you then."
1,"HighLow",0,15,"3LRKMWOKB6D9R5MZJQ4N54IB0EW2ZV","Good thinking."
1,"HighOnly",2,1,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Oh wow I hope everything is okay do you need me to help you? I can easily cancel the drinks after work."
1,"HighOnly",2,2,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","I'm sorry mom I was in a rush this morning and forgot."
1,"HighOnly",2,3,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Totally understandable and I want you to know I'm here for you if you."
1,"HighOnly",2,4,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Whoa and I never said anything to Jane. I wouldn't do anything to cause trouble for your relationship."
1,"HighOnly",2,5,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Teri I am so sorry this is happening right now and if you need me to come over so we can talk I'm available."
1,"HighOnly",0,6,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Lol no problem I was just wondering."
1,"HighOnly",0,7,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","I'm so sorry Paula and I don't know for sure if I'm in the clear yet I only heard about it and again I am sorry that happened."
1,"HighOnly",0,8,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Are you okay Sarah? Your only saying 'K' and I want you to know I'm truly sorry."
1,"HighOnly",0,9,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Sorry about that I was taking a nap and just checked my phone. What is going on? Do you need me to come over?"
1,"HighOnly",0,10,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Whoa that is horrible! I can come and pick you up if you need me too!?"
1,"HighOnly",0,11,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Trust me they will be hot lol but we can always heat them up in the microwave :P"
1,"HighOnly",0,12,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","I'm just under the weather due to working excessively and I'm just not up for it. Sorry again."
1,"HighOnly",0,13,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Yeah man I know but I can totally give you my ticket and I will skip it this time."
1,"HighOnly",0,14,"3GLB5JMZFYRW3YPAQN0FGGT9MKKDGT","Okay cool talk to you then"
